가게명,요리,개업,운영상태,별점,리뷰수,리뷰1,리뷰2,리뷰3
땀땀,베트남음식,,영업 중,,,"보양쌀국수 느끼할 줄 알았는데 의외로 존맛이라 놀람, 혼밥하기도 좋고 매장도 넓어요","짜조, 매운한우소곱창쌀국수, 숯불구이돼지고기덮밥 먹었습니다! 그리고 양도 너무 많아서 엄청 배불렀어요!",줄서는 맛집에 반영된 강남 매운 쌀국수 맛집! 매운 한우 대창 쌀국수 대만족이에요
구구당,퓨전음식,,영업 중,4.51,999+,강남맛집 구구당 친구가 멘보샤 맛집이라 해서 갔는데 ㄹㅇ 멘보샤는 꼭 시켜야함 . 왕새우탕면?,홍콩파스타 새우탕면 멘보사 주문 홍콩파스타 매콤하고 맛있음 멘보샤는 세상 맛있어요 필수로 주문하세요.,차오멘 마싯다 멘보샤도 버섯소이파스타도 다 다 굿굿
니뽕내뽕 강남역점,중식당,,영업 중,,788,"숯불제육피자,크뽕,로제불고기리조또 주문했어요 다 맛있었습니다! 피자 숯불제육피자 넘 맛있어요",제육피자랑 고기뽕 마라크뽕 먹었는데 대만족이었습니다,추억의 니뽕내뽕! 에이드 세트로 먹어서 가성비 좋았어요! 맵크뽕은 진짜 맵네요ㅎㅎㅎ
강남노크 본점,요리주점,,영업 중,,817,"안주 화채랑 골뱅이쫄면무침 먹었능데 양도 많고, 생각보다 너무너무 맛있어서 대만족했다!",일단 개별룸이라 쾌적했구요 닭고기살도 많이 퍽퍽하지 않아서 좋았어요,가격은 이해합니다 룸술집이니 당연히 비쌀거라고 생각했어요 그 부분도 정말 좋았어요 잘 놀다 갑니다 !
바비레드 강남본점,이탈리아음식,,영업 중,,,고기가 맛있네요 샐러드도 싱싱하고 파스타는 제일 순한맛으로 해도 저희에겐 매웠어요,양도진짜많고 고기도 맛있고 파스타도 맛있어요 파스타가 좀 퓨전느낌인데 매운맛 좋아하시는분들 강추합니다,강남역 데이트장소로도 유명한 바비레드에서 인기많은 레드크림파스타 곱빼기로 먹었어요! ㅋㅋ
마초쉐프 강남본점,이탈리아음식,,영업 중,4.71,999+,마초라는 가게명처럼 화끈한 퍼포먼스의 삼겹스테이크를 꼭 드셔보세요!,강남역 점심 맛집으로 통하는 곳 고기 맛도 좋지만 함께 나오는 감자튀김의 맛이 끝내줍니다!,배고파서 먼저 나온음식부터 먹다보니 생각나서 늦게나마 찍은 사진ㅋ와인도 맥주도 좋았습니다.잘먹었습니다^^
고수닭갈비,닭갈비,,영업 중,4.51,999+,매콤한 닭갈비 먹고 싶어서 왔어요! 진짜 대박입니다 양도 많고! 치즈도 쭉쭉 늘어나요 ㅎㅎ,닭갈비 진짜 너무 맛있어요 치즈완전 듬뿍들어있고 자연산 치즈라서 쭉쭉늘어나요 우동사리 추가는 필수!,리뷰이벤트 쿨해서 좋네요ㅋㅋㅋ 치즈 많아서 좋아요. 그런데 다른 닭갈비집이랑 비교했을때 엄청 많다!
감탄계 숯불치킨 강남역점,"치킨,닭강정",,영업 중,,747,각종 생맥주들과 닭다리로만 만들어 고기 자체가 맛있을 수 밖에 없습니다 치킨 계의 에르메스 입니다,홍콩 노포 감성의 강남역 치맥맛집 감탄계! 남편 퇴근하고 늦은 시간에 치맥하러 갔는데 북적북적.,감탄계는 리얼 숯불치킨의 끝판왕이다 나는 21년부터 감탄계를 꾸준하게 먹어온 찐 감탄계 러버임!
알부자,"해물,생선요리",,영업 중,4.39,999+,강남 맛잘알이라면 아는 이곳 알부자 알찜이 진짜 맛있어요 탱글 신선 그잡채 넘 맛있는곳,평일 오후 6시 45분 정도 입장하니까 웨이팅 없이 들어왔어요! 반찬도 다양하고 알찜도 맛있어요!,웨이팅 10분 후 입장했고 밑반찬들도 깔끔했어요 맛은 맛있게 매운맛입니다 사장님도 친절해서 더 좋았어요!
일편등심 강남점,소고기구이,,영업 중,4.86,999+,와 분위기도 좋고 직원분들도 친절하시고 고기퀄리티는 뭐 말할필요없어요!,고기를 맛있게 잘 구워주셨어요 평일 런치메뉴 먹었는데 합리적인 가격이라고 생각합니다,주말에 남편이랑 저녁에 다녀왔어요! 고기가 너무 맛있어서 먹는 내내 즐거웠네요 잘먹고왔습니다
금복주류 강남역점,요리주점,,영업 중,4.73,999+,금복주류 막걸리 류가 예술이에요! 안주들은 딱 막걸리 안주에 특화된 느낌!,강남역 술집 분위기도 좋고 안주도 맛있고 아주 냠냠굿 맛도리 만족합니다 칭구들이랑 재밌게 놀다가요,생막걸리가 너무 맛나요 비오는날 치즈감자전도 딱이네요! 다음에 또 올것 같아요 추천합니다
강남진해장,한식,,24시간 영업,4.35,999+,동료와 내장탕과 양지곰탕을 먹었습니다. 신선한 곱창인지 냄새 일절 안났습니다. 맛있게 잘 먹었습니다.,"남편은 양선지해장국,전 양지곰탕 주문했어요 얆게 썬 양지에 당면도 들어있어서 맛있게 먹었어요",강남진해장 양선지 해장국입니다. 맛있게 잘먹었습니다!
라브리크 서울,양식,,영업 중,,999+,캐치테이블로 예약하고 방문했어요 라브리크에서 만든 상그리아도 달달하니 같이 먹기 딱 좋았습니당!,알배추 시저샐러드 두번드세요 너무 맛있어요! 다른 메뉴들도 다 맛있네요.,"음식, 커피 다 맛있어요! 매장도 멋있고 인테리어 예쁩니다. 브런치 가게 찾으시는 분들한테 추천"
