가게명,요리,개업,운영상태,별점,리뷰
따롱이훠궈 강남점,중식당,,영업 중,,리뷰 999+
담원순대,"순대,순댓국",새로오픈,영업 중,,리뷰 130
구구당,퓨전음식,,곧 영업 종료,별점4.51,리뷰 999+
미엔아이 천등,아시아음식,,영업 중,별점4.71,리뷰 999+
니뽕내뽕 강남역점,중식당,,영업 중,,리뷰 770
강남노크 본점,요리주점,,영업 중,,리뷰 797
고베규카츠 서울 강남점,돈가스,,영업 중,,리뷰 999+
마초쉐프 강남본점,이탈리아음식,,영업 중,별점4.71,리뷰 999+
땀땀,베트남음식,,영업 중,,리뷰 999+
온센 강남점,일식당,,곧 영업 종료,별점4.35,리뷰 999+
감탄계 숯불치킨 강남역점,"치킨,닭강정",,영업 중,,리뷰 742
고수닭갈비,닭갈비,,영업 중,별점4.51,리뷰 999+
진대감 강남역 교보타워점,소고기구이,,영업 중,별점4.48,리뷰 999+
트라가 강남역점,스페인음식,,영업 중,,리뷰 999+
진대감 강남역 삼성타운점,소고기구이,,영업 중,별점4.39,리뷰 999+
화설 강남점,소고기구이,,영업 중,,리뷰 999+
알베르,카페,,영업 중,별점4.38,리뷰 999+
을지다락 강남,양식,,영업 종료,별점4.53,리뷰 999+
낙원타코 강남역점,"멕시코,남미음식",,영업 중,,리뷰 999+
금복주류 강남역점,요리주점,,영업 중,별점4.73,리뷰 999+
장인닭갈비 강남점,닭갈비,,영업 중,,리뷰 999+
호보식당,한식,,영업 중,별점4.66,리뷰 999+
영동교집 강남직영점,돼지고기구이,,영업 중,,리뷰 999+
초이다이닝 강남점,일식당,,영업 종료,,리뷰 999+
동두천솥뚜껑삼겹살 강남역점,돼지고기구이,,영업 중,별점4.35,리뷰 999+
바비레드 강남본점,이탈리아음식,,곧 영업 종료,,리뷰 999+
이자카야 열,이자카야,,영업 중,별점4.35,리뷰 999+
봉우이층집,돼지고기구이,,영업 중,별점4.57,리뷰 999+
고깃집열,"육류,고기요리",,영업 중,별점4.36,리뷰 999+
나폴리회관 강남역점,이탈리아음식,,영업 중,별점4.29,리뷰 999+
영차떡볶이,떡볶이,,곧 영업 종료,,리뷰 999+
장꼬방,빙수,,영업 중,별점4.45,리뷰 999+
감탄성신,일식당,,영업 종료,별점4.55,리뷰 999+
유니네 고깃간 강남역점,"육류,고기요리",,영업 중,,리뷰 999+
은행골 강남역점,"초밥,롤",,영업 중,별점4.48,리뷰 999+
리퍼크,카페,,영업 종료,별점4.52,리뷰 999+
응야끼도리 강남점,요리주점,,영업 중,,리뷰 999+
이자카야 공감 강남역점,이자카야,,영업 중,,리뷰 999+
랜돌프비어 강남점,"맥주,호프",,영업 중,,리뷰 999+
을밀대 강남점,냉면,,곧 영업 종료,별점4.31,리뷰 999+
하이디라오 서초지점,중식당,,영업 중,별점4.63,리뷰 999+
어거스트 힐 강남점,양식,,영업 중,별점4.56,리뷰 999+
강남 곱,"곱창,막창,양",,영업 중,별점4.41,리뷰 999+
일일향 강남역3호점,중식당,,영업 종료,별점4.32,리뷰 999+
삼백호집 신논현점,"육류,고기요리",,영업 중,,리뷰 814
이층집 닭도리탕,한식,,영업 중,별점4.82,리뷰 634
밤별 포차 라운지 본점,요리주점,,영업 중,,리뷰 999+
옥소반 강남역점,샤브샤브,,영업 중,,리뷰 999+
한과와락,"카페,디저트",,영업 중,,리뷰 999+
하이웨이기사식당[드라이버],돈가스,새로오픈,영업 중,,리뷰 631
대진도원참치 강남역점,생선회,,영업 중,,리뷰 999+
우동명가기리야마본진,"우동,소바",,곧 영업 종료,별점4.42,리뷰 999+
헤비스테이크 강남역점,"스테이크,립",,영업 종료,별점4.45,리뷰 999+
떡도리탕 강남본점,닭볶음탕,,영업 중,별점4.47,리뷰 999+
담원순대,"순대,순댓국",새로오픈,영업 중,,리뷰 130
봉우화로,"육류,고기요리",,영업 중,별점4.4,리뷰 999+
육미당 몽산,"육류,고기요리",,영업 중,,리뷰 999+
82올리언즈 강남점,양식,,영업 종료,,리뷰 999+
진구곱창,"곱창,막창,양",,영업 중,,리뷰 999+
빠레뜨한남 강남CGV점,양식,,영업 종료,별점4.49,리뷰 999+
우된장 교대본점,한식,,영업 중,,리뷰 182
보슬보슬 역삼본점,종합분식,,영업 종료,별점4.38,리뷰 999+
녘,양식,,영업 중,별점4.73,리뷰 999+
뉴트로2010 강남점,"맥주,호프",,영업 중,,리뷰 283
임병주산동칼국수,"칼국수,만두",,영업 종료,별점4.35,리뷰 999+
고에몬 강남점,"스파게티,파스타전문",,영업 중,별점4.38,리뷰 999+
알부자,"해물,생선요리",,영업 중,별점4.39,리뷰 999+
무월식탁,한식,,영업 중,별점4.29,리뷰 999+
