가게명,요리,개업,운영상태,별점,리뷰
한사발포차 건대입구점,요리주점,새로오픈,영업 중,,리뷰 35
맥주꾼 건대본점,술집,,영업 중,,
건대 고기굽는놈 본점,"육류,고기요리",,영업 중,별점4.63,리뷰 999+
니뽕내뽕 건대본점,중식당,,영업 중,별점4.44,리뷰 999+
보승회관 건대입구역점,국밥,,24시간 영업,,
텐텐양꼬치 숯불숙성통양갈비,양꼬치,,영업 중,,
감성타코 건대점,"멕시코,남미음식",,영업 중,별점4.32,리뷰 999+
불야성,요리주점,,영업 중,,
뽕사부,중식당,,24시간 영업,별점4.62,리뷰 999+
제주네솥뚜껑 건대점,"육류,고기요리",,영업 중,,
고베규카츠 건대점,돈가스,,영업 중,,
장인닭갈비 건대점,닭갈비,,영업 중,,
예담밥상,한정식,,영업 중,,
노크 건대직영점,"맥주,호프",,영업 중,,
최원석의돼지한판&서해쭈꾸미 건대1호점,"육류,고기요리",,영업 중,별점4.44,리뷰 999+
김창훈주막,요리주점,,영업 중,,
돼봉삼겹살 건대점,돼지고기구이,새로오픈,영업 중,,리뷰 730
미호락 건대본점,떡볶이,새로오픈,영업 중,,리뷰 456
꾸아 건대점,베트남음식,,영업 중,별점4.68,리뷰 999+
사계절 건대본점,"육류,고기요리",,영업 중,,
한우정육소 건대점,"육류,고기요리",새로오픈,영업 중,,리뷰 85
셰프뮤지엄,패밀리레스토랑,,곧 영업 시작,,
이토,이자카야,,영업 중,,
쿠마상회,이자카야,,곧 영업 시작,,
화기애애 본점,"육류,고기요리",,영업 중,별점4.55,리뷰 999+
로니로티 건대점,이탈리아음식,,영업 중,별점4.48,리뷰 999+
장미술상 건대점,요리주점,,영업 중,별점4.96,리뷰 999+
진맥 건대점,요리주점,,영업 중,,
도쿄빙수 건대점,빙수,,영업 중,별점4.38,리뷰 999+
중경식객 건대점,중식당,,영업 중,,
송화산시도삭면,"딤섬,중식만두",,영업 중,별점4.53,리뷰 999+
성수완당,한식,,영업 중,별점4.55,리뷰 999+
간장삼겹살 동방생고기 건대점,"육류,고기요리",,영업 중,,
오마카세 오사이초밥 건대본점,"초밥,롤",,영업 중,,
매운향솥 마라탕 마라샹궈,중식당,,영업 중,별점4.48,리뷰 999+
후타리 본,이자카야,,영업 중,,
수지상회 건대점,요리주점,,영업 중,,
장미술상 외갓집 건대점,요리주점,,영업 중,,
건대포항막회,생선회,,영업 중,별점4.39,리뷰 999+
고향양꼬치 건대점,양꼬치,,영업 중,별점4.37,리뷰 999+
육초연 건대점,"초밥,롤",,영업 중,,
김창훈호프,"맥주,호프",,영업 중,,
꼼주 건대본점,요리주점,,영업 중,,
오술차 건대점,요리주점,,영업 전,별점4.38,리뷰 999+
후토,이자카야,,영업 중,별점4.48,리뷰 999+
콩불 건대점,"육류,고기요리",,영업 중,,
옥루몽 어린이대공원점,빙수,,영업 중,,
호야초밥참치 본점,"초밥,롤",,영업 중,,
라이크어시네마 건대점,"카페,디저트",,영업 중,,
슈드 Seoul,"카페,디저트",,영업 중,별점4.04,리뷰 999+
화양양꼬치 건대점,양꼬치,,영업 중,별점4.58,리뷰 999+
당산오돌 구의역점,"육류,고기요리",,영업 중,별점4.64,리뷰 999+
신사소곱창,"곱창,막창,양",,영업 중,,
daughter,브런치,,영업 중,별점4.49,리뷰 999+
포비 본점,일식당,,영업 중,별점4.44,리뷰 999+
온달집 건대점,"육류,고기요리",,영업 중,별점4.23,리뷰 999+
만경상회 건대본점,요리주점,,영업 중,별점4.42,리뷰 999+
서북면옥,냉면,,영업 중,별점4.26,리뷰 999+
씰비,요리주점,,영업 중,,
건대 숯불부자곱창,"곱창,막창,양",,영업 중,별점4.83,리뷰 999+
오코노미야키식당하나,일식당,,영업 중,별점4.52,리뷰 999+
도도곱창 건대본점,"곱창,막창,양",,영업 중,별점4.75,리뷰 999+
미진축산 건대점,"육류,고기요리",,영업 중,,
심야식당 후타리,이자카야,,영업 중,별점4.8,리뷰 999+
투또톤토,"카페,디저트",,영업 중,,
풍성감자탕,한식,,24시간 영업,별점4.38,리뷰 999+
릴리베이커리,베이커리,,영업 중,,
오늘와인한잔 건대점,와인,,영업 중,,
우화등선,소고기구이,,곧 영업 시작,별점4.65,리뷰 808
함흥본가면옥 건대점,냉면,,영업 중,별점4.37,리뷰 999+
건대사시미,생선회,,영업 중,별점4.45,리뷰 999+
명봉양꼬치,중식당,,영업 중,,
77년생 곱도리 전골식당,한식,,영업 중,,
드로잉레시피,양식,,곧 영업 시작,별점4.65,리뷰 999+
늘조은한우 구의직영점,소고기구이,,영업 중,,
송림식당,기사식당,,영업 중,별점4.32,리뷰 999+
뽕사부,중식당,,24시간 영업,별점4.62,리뷰 999+
폰버거,햄버거,,영업 중,,
육일관 건대본점,"육류,고기요리",,영업 중,별점4.48,리뷰 999+
주당쌀롱,요리주점,,영업 중,,
송화산시도삭면 2호점,중식당,,영업 중,별점4.43,리뷰 999+
C156,양식,,영업 중,별점4.57,리뷰 999+
하이디라오 건대지점,중식당,,오늘 휴무,별점4.66,리뷰 999+
흐릇,카페,,영업 중,별점4.9,리뷰 999+
우마이도 건대점,일본식라면,,영업 중,별점4.43,리뷰 999+
요비,이자카야,,영업 중,,
동해해물,한식,,영업 중,별점4.39,리뷰 400
명봉마라훠궈,중식당,,영업 중,,
카페 아르무아,"카페,디저트",,영업 중,별점4.45,리뷰 999+
고육담,샤브샤브,,영업 중,,
마초쉐프 건대점,이탈리아음식,,영업 중,별점4.7,리뷰 999+
송화양꼬치,양꼬치,,영업 중,별점4.48,리뷰 999+
김창훈포차 건대본점,요리주점,,영업 중,,
정면,국수,,영업 중,별점4.87,리뷰 999+
용용선생 건대점,요리주점,,영업 중,별점4.58,리뷰 999+
더 클래식 500 라구뜨,뷔페,,영업 중,별점4.56,리뷰 999+
경성양육관,양꼬치,,영업 중,별점4.56,리뷰 999+
오유미당 건대점,돈가스,,영업 중,,
록갈비 건대점,"육류,고기요리",,영업 중,,
요비,이자카야,,영업 중,,
단스,요리주점,새로오픈,영업 중,,리뷰 274
미가육,"육류,고기요리",,영업 중,,
남한강민물매운탕,"매운탕,해물탕",,영업 중,별점4.39,리뷰 999+
쿠우쿠우 블루레일 건대직영점,"일식,초밥뷔페",,영업 중,,
앤시넌,"카페,디저트",,영업 중,,
솔솥 건대스타시티점,한식,,영업 중,,
해피니스디저트,"카페,디저트",,영업 중,별점4.42,리뷰 999+
박과장의 조은회사,생선회,,영업 중,별점4.52,리뷰 999+
북카페세모 건대점,"카페,디저트",,영업 중,별점4.78,리뷰 999+
아날로그키친,이탈리아음식,,영업 중,별점4.47,리뷰 877
조용한주택,"스파게티,파스타전문",,곧 영업 시작,별점4.72,리뷰 999+
더이퀼리브리엄커피,카페,,영업 중,,
비어볼 건대,요리주점,새로오픈,영업 중,,리뷰 40
탄토탄토,"스파게티,파스타전문",새로오픈,영업 중,,리뷰 540
열불날개 건대본점,닭발,,영업 중,,
아찌떡볶이,떡볶이,,영업 중,별점4.32,리뷰 999+
후토,이자카야,,영업 중,별점4.48,리뷰 999+
오늘 건대점,이자카야,,영업 중,,
새로이,요리주점,,영업 중,별점4.53,리뷰 999+
굴림샤브&콩국수 어린이대공원점,"칼국수,만두",새로오픈,영업 중,,리뷰 240
심술집,요리주점,,영업 중,별점4.87,리뷰 999+
칙바이칙 건대점,햄버거,,영업 중,,
건대커피 랩,카페,,영업 중,별점4.54,리뷰 999+
포몬스 건대점,베트남음식,,영업 중,별점4.32,리뷰 999+
원보양꼬치,양꼬치,,영업 중,별점4.56,리뷰 999+
오캄 OKLM,"카페,디저트",,영업 중,,
라화쿵부 건대점,마라탕,,영업 중,별점4.66,리뷰 999+
육성회비,요리주점,,영업 중,별점4.56,리뷰 999+
카페 그자체 베이커리,베이커리,,영업 중,별점4.59,리뷰 999+
