가게명,요리,개업,운영상태,별점,리뷰수,리뷰1,리뷰2,리뷰3
바다담다,"카페,디저트",,영업 중,4.92,999+,바다가바로보이눈카페예요 음료도맛있고 말렌카 케이크 꼭드세요!,속초여행중 만난카페 옥수수크림라떼 그맛이 달콤한데 묘한맛이고 영금정이보이는 바다뷰가 너무 좋았어요,영금정 들렀다가 쉬러간 카페! 카페 뷰가 장난아니구 커피도 빵도 맛있었어요. 빵은 겉이 쫄깃했어요!
키친온유,이탈리아음식,,브레이크타임,4.9,999+,처음 반겨주는거건 식전빵과 샐러드였어요! 후식으로 먹기에 괜찮았어요,10분정도 대기 후 입장하였습니다-! 해산물 리조또와 파스타가 드시고 싶으시다면 아주 추천드립니다! :d,"식전빵부터 메인요리, 디저트까지 전부 다 맛있어요. 사장님들(?) 다 친절하세요!"
설악젤라또,아이스크림,,영업 중,4.86,999+,속초여행 검색하는데 설악젤라또 딱 나와서 먹으러왔어요 저의 추천은 딸기입니다,친구 추천으로 방문했는데 색다른 젤라또를 맛볼 수 있어서 너무 좋았어요!,"속초 여행 왔다가 젤라또 검색 후 후기가 좋아서 왔는데, 후기대로 너무 맛있는 젤라또를 만났지뭐예요!"
도리스 파티세리,베이커리,,영업 중,4.84,999+,에그타르트 찐맛집이라고해서 가본 속초 중앙시장 디저트카페입니다.,깔끔하게 포장해주셔서 너무 좋았어요. 속초 중앙시장 가신다면 에그타르트 추천입니다!,에그타르트가 완전 부드럽고 입안에서 살살 녹네용
예스닭강정 본점,"치킨,닭강정",,영업 중,4.73,999+,속초의 예스yes! 중앙시장에도 매장이 오픈했다고합니다! 맛있게 먹겠습니다 닭강정은 물론 맛있구요^^,이렇게 특이한 닭강정을 언제 먹어볼까 싶어서 와봤어요 인테리어도 멋집니다 도착 후 수령 20분정도 걸렸어요,속초에 오면 맨날 ㅁㅅㄷㄱㅈ만 먹어서 주문해보았어요. 독특해서 맥주 안주로 딱이네요!
팔팔회센타,생선회,,영업 중,4.72,999+,"6월부터 대게 금어기로 알아서 홍게세트를 먹었는데 최근 몇년간 먹은 대게,홍게집 가장 좋았습니다.",재방문입니다. 제가 가본 속초 횟집중 가장 신선한 재료를 사용하고 굉장히 친절하세요.,신선한 회에 밑반찬도 풍부하고 게찜도 볶음밥 모두 모두 맛있어요.
범바위막국수,막국수,,영업 중,4.71,999+,사진 찍기도 전에 수육이랑 전병을 가져갔네요 ㅎㅎ 속초 여행 후 막국수 맛집 검색해서 들어왔는데 맛있어요,"메밀물막국수, 메밀비빔막국수, 수수부꾸미 주문! 오 수수부꾸미 꼭 드세요!",막국수 맛있어요 수수부꾸미 처음 먹는게 쫀득하니 맛있네요 회막국수도 입맛 돋우고 좋아요
속초삼순이 속초본점,"해물,생선요리",,영업 중,4.71,999+,아이둘과 어른둘 총4이서 해물찜소자에 생선구이 먹었어요. 해물찜은 매콤한ㄱ 어른둘이 먹기에 양도푸짐하고.,해물찜 전복 가리비 문어 다 크고 양이 많네요,속초 여행 와서 여러 맛집 찾다가 속초삼순이 왔습니다! 깨끗하고 깔끔합니다 김가루비빔밥도 추천합니다.
송정희어머니순두부,두부요리,,영업 중,4.7,999+,해물순두부랑 황태구이 먹었어요! 해물순두부는 해물탕처럼 국물이 시원칼칼 맛있고 황태구이도 맛있어요 :),아침 일찍 와서 대기없이 먹었어요^^ 해물순두부 시원하고 황태회 무침도 맛나요,반찬도 다 맛있어요 깔끔한 맛이예요 개인적으로 황태회무침 엄청 맛있어요
하마식당,일식당,,영업 중,4.68,999+,"후토마끼, 마제소바, 그리고 고로케 세가지 메뉴 두명이서 먹었어요! 일단 마끼가 정말 맛있었어요.",두번째 방문한 하마식당 친절하시고 마제소바는 맛있습니다 면 다 먹고 밥까지 똬아 먹었더니 배부르더라고요,마제소바도 맛있네요! 속초올 때마다 가게되는듯 :)
신유네 회포장,생선회,,영업 중,4.66,999+,일주일 전에 예약하고 갔어요. 두툼힌 회는 당연히 맛있고 추가한 매운탕도 양이 많고 야채가 신선해요.,"모둠회 소(35,000)+메운탕 회는 양이 일단 많네요.",모듬소짜 포장이에요 매운탕도 물회도 너무 맛있네요 ^^
승진호홍게 무한리필,게요리,,영업 중,4.66,999+,무한리필에 가성비 너무 좋은데 대게 살이 아주아주 실하구요,여기 대박이에용 이렇게 크고 살 꽉찬 홍게로만 준비해주시다니 라면과 볶음밥까지 최고입니다!,홍게무한리필 잘 먹고 왔습니다. 무한리필인데 홍게 퀄리티 너무 좋아요. 깔끔하고 직원분들 친절하십니다.
돈까스렛,돈가스,,영업 중,4.65,999+,속초 갈때마다 먹는 맛집! 돈까스 맛이 생각나서 또왔어요 담에 속초가면 또갈게요!,속초 돈까스 맛집 탑3안에 드는 집입니다 ㅎ 너무 맛있어요 ! 로스까스랑 치즈까스 둘 다 너무 맛있어요,강원도가스 진짜 맛있네요 그냥 감자튀김 올라간 돈가스일줄 알았는데 아닙니당
속초대게천국,대게요리,,영업 중,4.64,999+,엄청 넓고 직원분들도 친절하세용 싱싱한 대게를 맘껏 먹을수 있어서 좋슴당! ㅎ 고소하고 맛있네용^^,너모너모 맛있어요 대게 대게대게 맛있네여! 친정부모님도 맛있으시다며 수율이 좋다고 ㅎ 잘왓다고 ㅎ,무한리필 먹으러 갔는데 홍게리필도 여러번 잘해주시고 배불리 잘먹고 왔어요
왕가수라청,한식,,영업 중,4.63,999+,속초 놀러와서 더덕구이가 먹고싶어서 방문했어요! 메인메뉴 더덕+황태구이랑 반찬도 다 맛있어요 : ),황태구이 더덕구이 같이 정식메뉴로 나와서 골고루 먹기도 좋고 가격도 합리적인 곳이에요,미시령부근 한옥마을에 '왕가 수라청'은 황태 맛집입니다. 집밥 같은 밥과 반찬이 하나하나 다 맛있어요.
오대양횟집,생선회,,영업 중,4.62,999+,자연산모듬회 너무 맛있고 메뉴가 다양해요! 자리 넓어서 회식하기에도 좋아요,분위기맛집 데이트맛집 속초가면 꼭 가봐야할맛집! 오대양횟집 흥해라!,오대양횟집 최고 ! 손님 꽤 있었는데도 어수선하지않구 분위기 좋았어요
곤드레밥집,한식,,영업 중,4.62,999+,곤드레밥 홍합솥밥 선택. 반찬도 깔끔하고 밥도 맛있다. 사장님도 친절하니 좋았다.,제 남친이 워낙 한식파라 여행지 가면 보리밥집이나 솥밥집을 찾아다니는 편입니다.,"홍합, 톳, 곤드레밥으로 주문했어요 반찬들도 정갈하게 잘 나와서 솥밥 먹고 누릉지까지 다 먹고 왔어요"
