가게명,요리,개업,운영상태,별점,리뷰
앙젤리제,양식,,영업 중,,리뷰 739
이수가 본점,한식,,영업 중,,리뷰 999+
화설 이수사당점,"육류,고기요리",,영업 중,,리뷰 999+
경성모밀,"우동,소바",,영업 종료,별점4.53,리뷰 999+
후라토식당 이수역점,일식당,,영업 종료,,리뷰 999+
애플하우스,떡볶이,,영업 종료,별점4.34,리뷰 999+
팔각도 이수역점,닭갈비,,영업 중,별점4.72,리뷰 999+
이수곱창,"곱창,막창,양",,영업 중,별점4.23,리뷰 999+
멘쇼우라멘 이수,일본식라면,,영업 종료,,리뷰 999+
고반식당 이수역점,돼지고기구이,,영업 중,,리뷰 999+
호요,이자카야,,영업 중,별점4.62,리뷰 999+
외양간,"육류,고기요리",,영업 중,별점4.69,리뷰 999+
족발팩토리 이수역점,"족발,보쌈",,영업 중,,리뷰 999+
솥고집 사당점,"육류,고기요리",,영업 중,,리뷰 999+
37.5 동작이수점,브런치,새로오픈,영업 종료,,리뷰 334
딥다이브,"카페,디저트",,영업 중,,리뷰 186
이수가 본점,한식,,영업 중,,리뷰 999+
늘조은한우마을,"육류,고기요리",,영업 중,별점4.91,리뷰 999+
냅다청양집 이수점,돼지고기구이,,영업 중,,리뷰 634
베이크가든,"카페,디저트",,영업 종료,,리뷰 999+
청와옥 사당직영점,"순대,순댓국",,영업 중,별점4.37,리뷰 999+
마당돈까스 방배본점,돈가스,,영업 종료,별점4.17,리뷰 256
동명,이자카야,,영업 중,별점4.42,리뷰 999+
양복점 사당점,양꼬치,새로오픈,영업 중,,리뷰 137
낯선한식븟다,요리주점,,영업 중,별점4.52,리뷰 925
이수갈비연구소,한식,,영업 중,,리뷰 740
미국식 방배본점,햄버거,,영업 종료,별점4.41,리뷰 999+
고기싸롱 이수역점,"육류,고기요리",,영업 중,,리뷰 999+
도쿄빙수 이수점,빙수,,영업 중,별점4.42,리뷰 999+
스시로로,"초밥,롤",,영업 중,,리뷰 999+
목구멍 이수점,"육류,고기요리",,영업 중,,리뷰 999+
낙성곱창,"곱창,막창,양",,영업 중,별점4.32,리뷰 999+
규스홈 레스토랑,이탈리아음식,,영업 종료,별점4.75,리뷰 514
신사펍 이수,"맥주,호프",,영업 중,별점4.43,리뷰 999+
올라아보 이수본점,"멕시코,남미음식",,영업 중,별점4.56,리뷰 999+
월량,중식당,,영업 종료,별점4.46,리뷰 999+
카페 파이프,브런치카페,,영업 종료,,리뷰 4
이자카야 우규 이수역점,이자카야,새로오픈,영업 중,,리뷰 187
노아이디어피자 이수본점,피자,,영업 종료,,리뷰 999+
금별맥주 이수역점,"맥주,호프",,영업 중,,리뷰 429
블랑제리 르팡,베이커리,,영업 중,,리뷰 203
크래프트한스 이수점,"맥주,호프",,영업 중,별점4.62,리뷰 999+
이수통닭,"치킨,닭강정",,영업 중,별점4.35,리뷰 999+
눈내리는숲설래임 방배점,"카페,디저트",,영업 중,,리뷰 219
서초동연가 사당역점,"육류,고기요리",,영업 중,별점4.43,리뷰 620
Hwi ya,요리주점,,영업 중,,리뷰 424
아트나인&잇나인,카페,,영업 중,별점4.5,리뷰 999+
와일드플라워,양식,,영업 중,별점4.68,리뷰 999+
유정우함흥냉면,냉면,,영업 종료,별점4.37,리뷰 999+
돈키돈까스,일식당,,영업 종료,별점4.33,리뷰 960
난바우동&이자카야 사당본점,이자카야,,영업 중,,리뷰 999+
봉구가래떡볶이 이수역점,종합분식,,영업 중,,리뷰 599
김영희강남동태찜 이수점,"해물,생선요리",,영업 중,,리뷰 999+
홍콩참치만두,"칼국수,만두",,영업 중,별점4.38,리뷰 738
카페참새방앗간,"카페,디저트",,영업 중,별점4.81,리뷰 999+
방배김밥 본점,김밥,,영업 종료,별점4.41,리뷰 999+
개화,중식당,,영업 종료,,리뷰 999+
보태닉마켓,"다이어트,샐러드",,영업 종료,,리뷰 860
그릴진,"육류,고기요리",,영업 중,별점4.6,리뷰 999+
농부쌈밥,쌈밥,,영업 종료,별점4.46,리뷰 999+
디피스트,"카페,디저트",,영업 중,별점4.54,리뷰 941
온미정,일식당,,영업 종료,별점4.6,리뷰 476
천사곱창 이수점,"곱창,막창,양",,영업 중,별점4.46,리뷰 999+
도담,요리주점,,영업 중,,리뷰 262
헝그리 곰바,일식당,,영업 중,,리뷰 905
도버빌리지,양식,,영업 중,,리뷰 756
방배양곱창,"곱창,막창,양",,영업 중,별점4.41,리뷰 876
콘크리트,이자카야,,영업 중,,리뷰 599
호우양꼬치 이수점,양꼬치,,영업 중,별점4.54,리뷰 999+
우탄,"육류,고기요리",,영업 중,,리뷰 580
곱창나라,"곱창,막창,양",,영업 중,별점4.73,리뷰 999+
오센,이자카야,,영업 중,별점4.44,리뷰 999+
백호양대창,"곱창,막창,양",,영업 중,별점4.62,리뷰 999+
리요리요커피,"카페,디저트",,영업 중,별점4.95,리뷰 689
참오리전문점,오리요리,,영업 종료,별점4.45,리뷰 536
쿠킨스테이크하우스 이수 본점,"스테이크,립",,영업 종료,별점4.4,리뷰 999+
맛집곱창구이,"곱창,막창,양",,영업 중,,리뷰 999+
천사곱창 이수점,"곱창,막창,양",,영업 중,별점4.46,리뷰 999+
정작가의 막걸리집,"전통,민속주점",,영업 중,별점4.59,리뷰 582
다 피타 시그니처,이탈리아음식,,영업 중,별점4.45,리뷰 595
소라노호시,이자카야,,영업 중,별점4.49,리뷰 329
카니발피자 이수점,피자,,곧 영업 종료,별점4.57,리뷰 760
원조 쯔왕돈까스,돈가스,,영업 종료,,리뷰 999+
홍콩반점0410 이수역점,중식당,,영업 중,별점4.32,리뷰 999+
스윗띵스랩,"카페,디저트",,영업 종료,별점4.71,리뷰 285
커피브라더 이수역점,"카페,디저트",,영업 중,,리뷰 308
칠프로칠백식당 방배직영점,소고기구이,,영업 중,별점4.8,리뷰 999+
소하우스바,요리주점,,영업 중,,리뷰 310
육대장 푸줏간 이수역점,"찌개,전골",,영업 종료,별점4.24,리뷰 999+
레코드피자 이수점,피자,,영업 중,별점4.55,리뷰 357
철길부산집 이수점,요리주점,,영업 중,,리뷰 425
쁘띠우스 베이커리,베이커리,,영업 중,,리뷰 999+
메종엠오,베이커리,,영업 종료,별점4.55,리뷰 999+
해이케이크샵,케이크전문,,영업 종료,별점4.56,리뷰 330
달길포차,포장마차,,영업 중,별점4.34,리뷰 731
오리에,브런치,,영업 종료,별점4.57,리뷰 764
루키더셰프,양식,,영업 중,별점4.48,리뷰 608
토비커피,"카페,디저트",,영업 중,별점4.63,리뷰 999+
커피브라더 이수역점,"카페,디저트",,영업 중,,리뷰 308
디피스트,"카페,디저트",,영업 중,별점4.54,리뷰 941
세녹,홍차전문점,,영업 중,별점4.28,리뷰 999+
문쥬스,양식,,영업 중,,리뷰 941
김재운 초밥사랑 이수점,"초밥,롤",,영업 중,,리뷰 999+
현고대닭발 사당점,닭발,,영업 중,별점4.56,리뷰 943
헬키푸키 사당방배점,종합분식,,영업 종료,,리뷰 245
정원분식,종합분식,,영업 종료,별점4.37,리뷰 999+
견인지역,"맥주,호프",,영업 중,별점4.84,리뷰 703
호시,"초밥,롤",,영업 종료,,리뷰 549
미분당 이수점,베트남음식,,영업 종료,별점4.66,리뷰 999+
주부리,종합분식,,영업 종료,별점4.48,리뷰 832
팬쿡 이수점,"스파게티,파스타전문",,영업 종료,별점4.52,리뷰 999+
미사키혼술 이수본점,일식당,,영업 중,별점4.32,리뷰 563
설빙 이수역점,빙수,,영업 중,별점4.32,리뷰 999+
이고집쭈꾸미 이수점,주꾸미요리,,영업 중,별점4.47,리뷰 999+
남산터 이수점,"찌개,전골",,24시간 영업,,리뷰 999+
조가네족발왕,"족발,보쌈",,영업 중,,리뷰 748
샐러디 사당점,"다이어트,샐러드",,영업 중,별점4.62,리뷰 999+
남성집,한식,,영업 중,별점4.01,리뷰 973
어사출또 이수역점,생선회,,영업 중,별점4.22,리뷰 999+
뽀르께노 스페니쉬 카페앤펍,스페인음식,,영업 중,,리뷰 324
라콤,"카페,디저트",,영업 중,,리뷰 109
로즈드메,"카페,디저트",,영업 종료,,리뷰 439
방배반점,중식당,,영업 종료,별점4.54,리뷰 847
라빠숑,"카페,디저트",,영업 중,,리뷰 93
종부네,요리주점,,영업 중,,리뷰 312
가가멜식당,한식,,영업 중,별점4.5,리뷰 576
푸바우,중식당,,영업 중,,리뷰 270
라미스콘 방배점,"카페,디저트",,영업 중,,리뷰 125
부엌쟁이,한식,,영업 중,별점4.42,리뷰 999+
로즈드메,"카페,디저트",,영업 종료,,리뷰 439
곱분이곱창 이수점,"곱창,막창,양",,영업 중,,리뷰 945
책그리고,"카페,디저트",,영업 종료,별점4.46,리뷰 272
용용선생 이수점,요리주점,,영업 중,,리뷰 999+
산쪼메 이수점,일본식라면,,영업 종료,별점4.4,리뷰 812
태양커피 방배점,테이크아웃커피,,영업 종료,별점4.56,리뷰 999+
백소정 이수역점,일식당,,영업 종료,,리뷰 999+
땡초우동 이수본점,"우동,소바",,영업 중,별점4.46,리뷰 624
조선부뚜막 이수역점,"육류,고기요리",,영업 중,,리뷰 999+
미고삼,"육류,고기요리",,영업 중,별점4.45,리뷰 594
더풍년 이수점,"해물,생선요리",,영업 중,별점4.65,리뷰 274
뽐므,"카페,디저트",,영업 종료,,리뷰 222
럭키갈비찜,"육류,고기요리",,영업 중,별점4.51,리뷰 302
고멘,일본식라면,,영업 종료,,리뷰 256
이수면가,"칼국수,만두",,영업 중,별점4.32,리뷰 493
탐나종합어시장 이수역점,생선회,,영업 중,,리뷰 999+
키친아일랜드 사당방배 본점,돈가스,,영업 중,,리뷰 514
쟝블랑제리 이수직영점,베이커리,,영업 종료,별점4.41,리뷰 999+
고추찜닭 본점,찜닭,,영업 중,별점4.35,리뷰 752
단아한정식,한정식,,영업 종료,,리뷰 401
공돈,"육류,고기요리",,영업 중,,리뷰 705
소람,바(BAR),,영업 중,별점4.74,리뷰 90
퍼시브 커피,"카페,디저트",,영업 중,,리뷰 361
원조추어탕,추어탕,,영업 종료,별점4.21,리뷰 999+
선주가 이수역점,요리주점,새로오픈,영업 중,,리뷰 137
이수쭈꾸미 본점,주꾸미요리,,영업 중,,리뷰 667
치키차카초코 사당이수점,"카페,디저트",,영업 중,,리뷰 835
이수2정육식당,정육식당,,영업 중,별점4.26,리뷰 399
대구형제막창 방배점,대구형제막창,,영업 중,별점4.54,리뷰 456
삼백돈 돈가츠 이수점,돈가스,,영업 종료,별점4.46,리뷰 999+
알코홀릭드링크 서울이수점,양식,,영업 종료,,리뷰 166
스타벅스 이수역점,카페,,영업 중,별점4.47,리뷰 999+
슬로우캘리 사당이수점,"다이어트,샐러드",,영업 종료,별점4.61,리뷰 999+
신전떡볶이 방배점,분식,,영업 중,별점4.52,리뷰 999+
웨스트빙고,카페,,영업 중,별점4.5,리뷰 581
스시세이,"초밥,롤",,영업 종료,별점4.6,리뷰 541
찰리 앤 몰리,"카페,디저트",,영업 종료,,리뷰 277
분분 이수역점,베트남음식,,영업 종료,,리뷰 605
사이,"카페,디저트",,영업 중,별점4.6,리뷰 459
부엉이산장 이수점,요리주점,,영업 중,,리뷰 189
산골짜기다람쥐,한식,,영업 중,별점4.38,리뷰 591
돌담,바(BAR),,영업 중,별점4.84,리뷰 343
제줏간 이수점,돼지고기구이,,영업 중,,리뷰 661
야끼니꾸 소량 이수점,"육류,고기요리",,영업 중,,리뷰 999+
이수짜장,중식당,,영업 종료,별점4.39,리뷰 343
롯데리아 이수역점,햄버거,,24시간 영업,별점4.27,리뷰 999+
유미카츠 이수방배점,돈가스,,영업 중,,리뷰 999+
파티시안,"카페,디저트",,영업 종료,별점4.82,리뷰 999+
마로,한식,새로오픈,영업 중,,리뷰 30
봉평메밀마당 이수역점,막국수,,영업 종료,별점4.4,리뷰 520
타파델디아,스페인음식,,영업 중,,리뷰 84
방배동개성집,한식,,영업 종료,별점4.46,리뷰 466
시로미,일식당,,영업 종료,,리뷰 67
미얏베이커리,베이커리,,영업 종료,,리뷰 54
3공간 사당,와인,,영업 중,별점4.22,리뷰 207
위안,요리주점,,영업 중,,리뷰 227
