가게명,요리,개업,운영상태,별점,리뷰수,리뷰1,리뷰2,리뷰3
경성모밀,"우동,소바",,영업 종료,4.53,999+,점심에 줄서서 기다려 먹은 냉모밀. 냉모밀 곱배기는 토핑도 두배 ㅎㅎ 경양식 돈까스도 맛있네요 ^^,돈까스랑 비빔모밀 진짜 맛있어요 단무지가 치트키 웨이팅 싫어하는데 여기여긴 기다려용,우동.돈까스 세트랑 모밀 주문했는데 양도 많고 맛있어요 국물이 끝내주네요^^
후라토식당 이수역점,일식당,,영업 중,,999+,직원분들도 친절하고 깔끔하고 좋았습니다. 규카츠야 항상 특별한 느낌이라 맛있었네요,규카츠하면 후라토식당인 것 같아요! 너무너무 맛있고 깔끔해서 종종 들리곤하는데 오늘 유독 맛있었습니다,이수역 맛집 규카츠 너무 맛있어요 이수역에 규카츠 맛집있어서 좋아요
팔각도 이수역점,닭갈비,,영업 중,4.72,999+,"숯불닭갈비, 닭안창살, 게라면 된장전골 주문했어요 넘 맛있더라고요",맵지 않은 닭갈비라 아이와 함께 먹기 좋아요! 날치알주먹밥도 라면이나 비빔칼국수도 다 맛있어요,"닭 특수부위 맛집! 닭갈비는 물론 목살이랑 관자도 너무 맛있음,"
냅다청양집 이수점,돼지고기구이,,영업 중,,686,고기도 괜찮고 매콤한 불오징어가 별미에요 다음엔 쫄면도 먹어보고싶어요.,동네에 처음생겨서 와봄! 고기도 완전맛있고 직원분들 너무친절 잘먹고갑니다!,급 고기가 먹고싶어서 혼자 갔는데 친절히 응대해주셔서 좋았어요!
이수곱창,"곱창,막창,양",,영업 중,4.23,999+,"다른곳엔 없는 콘치즈와 계란찜, 라면이 있어서 술 한잔 더 들어가기 좋았고 볶음밥이 너무 맛있어요",또 들러 소 특수부위와 주류를 두루 즐기고 싶은 이수 곱창 맛집이었다.,21년 된 이수곱창맛집 이수곱창에 또 왔습니다! 작년 20주년때 한번 왔었는데 너무 맛있어서 또 왔어요.
애플하우스,떡볶이,,영업 중,4.34,999+,애플하우스 즉석떡볶이와 무침군만두 ^^ 넘 맛있어요.,포장해서 먹었어요. 즉떡이랑 무침만두. 둘다 너무 맛있네요. 왕 추천합니다,공간이 넓고 시원해요. 즉떡 좋아하시는분은 푸짐하게 드실꺼예요. 라면 당면사리까지있어 양 많아요.
37.5 동작이수점,브런치,새로오픈,영업 중,,,파스타는 정말 굿굿 추천이에영 샐러드도 채소가 아삭하니 너무 맛있게 먹었습니다,브런치셋트랑 얼큰해물파스타 넘 맛있어요 강력추천! 맛있어서 또 방문왔어요ㅎㅎ,아이랑 함께 왔는데 친절히시고 깔끔해서 좋아요 아란치니 떡볶이는 최애 메뉴랍니당 감자튀김도 맛나네요!
멘쇼우라멘 이수,일본식라면,,영업 중,,999+,츠케멘 먹었는데 최근에 먹었던 라멘 중 면이 제일 맛있네요! 양도 많고 특히 고기가 많아서 놀랐어요,오랜만에 먹는 라멘이었는데 정말 맛있고 튀김교자도 따뜻&바삭했어요!,우연히 찾아오게된 라멘집 매콤 돈코츠 적당히 칼칼하니 라멘도 맛이 좋다
커피브라더 이수역점,"카페,디저트",,영업 중,,312,와플먹으러 오늘도 방문했는데 시그니처 블랙라떼 신메뉴 출시하신다고 먹어보라고 사장님이 주셨어요.,홍콩생과일 와플이랑 라떼 그리고 딸기라떼 먹으며 시크하고 멋진 카페 브라더에세 즐거운 시간 보냈어요,분위기 진짜 좋은데다가 커피가 진짜 맛있어요 인테리어도 이쁘고 디저트도 다양해서 브런치먹기도 좋아요
레코드피자 이수점,피자,,영업 중,4.55,360,레코드 피자 새로 생겼다고 해서 가봤는데 지금 날씨에 가기 너무 좋아요 !,가성비 갑 너무너무 맛있어용 피자까지 진짜 잘먹었습니당!,사장님도 친절하시고 피자도 맛있고 최고였습니다! 또 가고싶네요! 회식으로도 좋을 것 같습니다!
소라노호시,이자카야,,영업 중,4.49,330,매장이 작고 아늑해서 바쁜 시간은 자리가 없을 수 있겠네요. 가성비와 맛 둘 다 최고의 이자카야였습니다.,모듬회와 안키모 포장해서 먹었는데 역시나 존맛탱이네요! 잘먹었습니다!,새련미 폭팔 자주 가고 싶은곳. 우동 꼭 드세요!
참오리전문점,오리요리,,영업 중,4.45,538,슬슬 더워지는 날씨에 보양식으로 한방오리백숙은 좋은 선택이 될 것 같습니다.,"담백하고 파 듬뿍 올려진, 기본에 충실한 가성비 삼계탕 집. 오리고기로 유명한 곳이라 삼계탕도 맛있었음.","진짜 제가 먹어본 백숙 중에 제일 맛있었어요, 오리가 되게 부드럽고 국물이 그냥 보약같아요"
토비커피,"카페,디저트",,영업 중,4.63,999+,시그니처메뉴인 시나몬 라떼가 라떼아트도 예쁘게 올라가서 맛있어요. 부드러운 원두라서 라떼맛집이예요.,뻔한케이크가 아니라 다양하고 유니크한 케이크가 많아요! 복숭아 달달하니 아주 맛있었음,존맛탱구리 블루베리레모니랑 당근한라떼 시켰어요! 레몬과 블루베리의 조화가 이렇게 좋을 수가 있나요?
도버빌리지,양식,,영업 중,,758,커피가 너무 맛있구 영국식 느낌으로 인테리가 독특해요. 일부러. 다시 찾아갈만큼 아껴두는 장소입니다.,건강하고 맛있게 잘먹었어요. 특히 파스타 진짜 맛있엇어요 다음에는 스프도 시켜먹고싶어요!,동네에 이런곳이 있어서 너무 좋았어요 영국식 브런치는 처음이엇는데 소시지나 스프가 진짜 맛있었어요
곱창나라,"곱창,막창,양",,영업 중,4.73,999+,곱창이 정말 맛있었습니다! 폭탄계란찜까지 완전 혜자 그잡채였어요,하이볼과 곱창 조합이 의외로 잘어울리네요!? 곱창 양도 너무너무많고 잡내없이 너무 맛있었어요또갈께요!,곱창이랑 하이볼 조합도 너무 좋았어요! 최고 ㅎㅎㅎ
쁘띠우스 베이커리,베이커리,,영업 중,,999+,"음료도 맛있고 넓고 편안해요. 디저트도 많고 식사 가능한 샌드위치, 샐러드도 있어 좋네요.",저 정말 샌드위치에 진심인 사람이라 삼시세끼 샌드위치 먹거든요 . 근데 쁘띠우스 샌드위치는 진짜 찐이에요,세라노포카치아샌드위치에 우유예요 신선하고 맛있어요 프랑스빵집에 온 거 같아요
칠프로칠백식당 방배직영점,소고기구이,,영업 중,4.8,999+,"집에서 가까워서 자주 옵니다. 육사시미 먹어 본 중에 제일 맛있어요! 안심,살치살도 맛있어요","아주 쎈 연탄불이라 그런지 고기가 콰속으로 익어 너무 좋네요 한우모듬이 150g에 34,000원이라니!",한우 퀄리티 좋고. 맛도 좋고 분위기도 좋아요 :) 쫀득담백한 육사시미 맛있어요.
메종엠오,베이커리,,오늘 휴무,4.55,999+,마들렌으로 유명하다 해서 찾아왔어요 아직 다 먹진 않았지만 마들렌이 예뻐요,언제나 사랑해마지않는 메종엠오의 갸또 이번에도 정말 감동적이었어요 너무 맛있었어요,다 먹어보고싶었지만 우선 밀푀유랑 몽블랑만 포장 ^^둘다 넘 맛나요! 다른거먹으러 또 갈꺼에용
해이케이크샵,케이크전문,,오늘 휴무,4.56,330,"급하게 당일 케이크 픽업 했는데, 만족했어요! 금방 레터링 받을 수 있어서 좋았어요",맛도 크림이 쫀쫀꾸덕하니 너무너무 좋았어요. 앞으로 기념일 케이크는 여기서 구매할거에요,너무 이쁘고 맛난 최애 케익샵 부모님도 너무 좋아할 정도로 맛있으면서 덜 달고 크림 부드럽고
오리에오리에오리에,브런치,,영업 종료,4.57,764,너무 애정하는 브런치 맛집이에요 . 일단 바게트가 너무 맛있어요. 버터가 킥이에요 단골하겠습니다 .,샌드위치가 정말 맛있어요. 빵이 맛있어서 그런가 ㅎㅎ 직원분들도 친절하시구 공간도 예뻐요!,내방역 샌드위치 가게 추천합니다! 바게트가 맛있다 해서 찾아왔어요! 하지만 전 맛있게 먹었어요!
우탄,"육류,고기요리",,영업 중,,579,고기가 살살 녹아요ㅋㅋ 맛있고 2인세트에 식사 추가했는데 넘 배부르게 잘 먹었어요,이수에서 맛있는 고기집을 찾다가 온 가게. 와규 맛집이네요. 2인세트 둘이서 먹기 아주 좋구요.,분위기 있게 우이하게 질좋은 고기 질 먹었습니다.
홍콩반점0410 이수역점,중식당,,영업 중,4.32,999+,"계란 이쁘게 올려주시네 볶음밥이 아니라 안먹었는데, 계란 실허네 ㅋㅋ",엄청 맛있게 잘 먹었어요 고기짜장 메뉴 자체가 매력적인 것 같아요! 번창하세요,할인이벤트해서 올만에가서 먹었네요. 주로 짬뽕만 먹었는데 짜장면도 맛있네요.
원조 쯔왕돈까스,돈가스,,영업 중,,999+,맛있고 일단 큽니다^^ 역시 쯔왕돈까스 답습니다!,1년만에 재방문했어요. 평일 오후 대기1팀있어서 금방 입장했어요. 도톰하고 부드러운 함박 맛잇어요 !,돈까스 남겼음 많기도하고 물리기도하고 김치볶음밥에 돈까스를 반찬으로 먹으면 괜찮음 ^^
팬쿡 이수점,"스파게티,파스타전문",,영업 중,4.52,999+,"우선 사장님이 너무 친절하십니다 피자도, 스테이크도, 파스타도 맛있었어요. 오일 새우 파스타?",가족끼리 자주 방문하는 곳이에요 ㅎㅎ 바질크림파스타 매운로제리조또 먹느라 사진은 없지만,식전에 나온 이벤트 피자도 맛있고 파스타랑 스테이크도 맛있었어요 양 적을줄 알았는데 완전 든든했어요.
견인지역,"맥주,호프",,영업 중,4.84,707,삼겹튀김이라니. 사장님 너무 배우신 분이쟈냐여!?! 또 갈게여 사장님,안주가 가성비가 최고최곱니다! 튀김 삼겹살 진짜 묘하게 맛나네요 ㅋㅋㅋ 여기는 무조건 또 올 것 같아요!,닭발이 불맛도 많이나고 맛있었습니다 분위기도 좋고 커플 친구들 추천이요!
김재운 초밥사랑 이수점,"초밥,롤",,영업 중,,,모듬 사시미 2인 코스가 잘 나오네요. 2명이 먹기 양 충분하고 술안주로 드시면 3명도 무리없습니다.,이수에서 먹은 초밥 중 최고에요! 아이가 좋아해서 가끔 방문합니다. 초밥집인데 돈가스마저 맛있어요:),초밥이 너무 맛있고 신선해요! 이수역 올때마다 초밥이 먹고싶으면 김재운 초밥사랑 사당점만 올거 같아요
루키더셰프,양식,,오늘 휴무,4.48,612,진짜 맛있고 다락방 컨셉 좋은 것 같아용 그리고 뇨끼 꼭꼭 드세요!,뇨끼 먹고 싶어서 찾아갔는데 비주얼도 좋고 너무 맛있었어요!,뇨끼 쫀득쫀득 떡이었는데 너무 맛났어요 또 먹으러 가고싶어요 아늑하고 분위기 조아용
세녹,홍차전문점,,영업 중,4.28,999+,나시고랭 맛있습니다 그리고 매장은 정말 넓습니다 여러명에서 친목활동 하기 좋아요,맛있어요! 밥먹고 바로 커피타임까지 같이 할 수 있어서 좋아요,죠리퐁프라페랑 리얼딸기 주문! 완전 맛있어요 ㅎㅎㅎ 메뉴가 다양해서 올때마다 다른거로 시켜먹고있어요
헬키푸키 사당방배점,종합분식,,영업 중,,252,으음 헬푸 부리또랑 키토김밥은 언제먹어도 존맛입니다 존맛,다이어트하는 분들에게 강추입니다! 떡볶이도 쫄면도 김밥도 양심의 가책 느끼지않고 먹을수 있는곳이에요!,키토김밥 너무 맛있어요 다이어트중인데 김밥에 쫄면이 너무 먹고싶어서 왔어요! 넘좋아요
곱분이곱창 이수점,"곱창,막창,양",,영업 중,,945,알곱창이랑 야채곱창 그리고 주먹밥 먹었는데 일단 너무너무 맛있어요 ! 이수역 찐맛 곱창집을 찾았네요:),곱창 막창 삼겹 모듬 너무 맛있어요 ! 떡 들어가는 거 짱 하이볼도 다 너무너무 맛있어요,역시 곱분이 최고입니다. 직화구이는 정말쫄깃하고 고소합니다 직원분들도 친절하고. 정말 기분좋게 다녀갑니다
문쥬스,양식,,영업 중,,951,조금 가격대가 있기있긴 한데 서울 물가로 치면 괜찮은 편이에요 피자의 바질페스토가 진하고 맛있었어요,피자도 파스타도 맛있어요! 레몬파스타는 처음 먹어보는데 특이하면서도 매력적인 중독성 있는 맛이에요.,건포도가 소스에 이러케 잘어울릴.? 초리조파스타에 구운레몬 보고 사장님이 맛잘알이시구나 싶었습니다.
남성집,한식,,영업 중,4.01,974,"순대없는 순대국 10,000원 무난한 맛입니다.",오래전부터 다니던 집입니다. 술국에 소주 한잔. 기분 좋은 일과 마무리입니다.,순대없는 순댓국 좋아합니다!
미사키혼술 이수본점,일식당,,영업 중,4.32,565,가성비 좋게 코스요리를 즐길 수 있는 곳을 찾은 것 같아서 좋아요! 회도 정말 맛있었습니다.,친구랑 이수역에서 만나기로 하고 장소 정하다가 참치회 먹자고 예약하고 갔는데 와 여기 진짜 찐맛집이에요!,가성비 좋고 싱싱한 횟집 찾으신다면 바로 여기에요 진짜 맛있게 먹어서 완전 츄천!
달길포차,포장마차,,영업 중,4.34,734,제육김치전골 진짜 핵 맛있어요 낮에는 백반 맛집이라더니 밑반찬도 꿀맛입니당 담에는 제육두부 먹으러 갈께욧,김치제육전골 메뉴.양 진짜 많이 주세요. 재료들이 신선하고 실하고 정말 맛있게 먹었습니다.,양이 미쳤다 김치전골에 온갖 재료들 다 있고 가격은 엄청 저렴! 당장 가세요 착한 모범 가게^^*
선주가 이수역점,요리주점,새로오픈,영업 중,,,가족들과 오순도순 얘기도 할겸 새로운 술집과 맛집을 찾으러 선주가 이수역점을 방문했어요!,"한식주점 새로오픈했길래 방문해봤어요, 인테리어 분위기도 좋고 직원분들도 친절하셔서 너무.좋았습니다","선주가 이수역점 정말 메뉴 다양해요. 한식 이자카야집 찾기 쉽지 않은데, 구성도 알차고 맛있네요."
뽀르께노 스페니쉬 카페앤펍,스페인음식,,영업 중,,329,한 자리에서 식사+디저트 까지 모두 할 수 있어서 좋았어요! 음식은 역시 맛있어서 모두 만족 했습니다,스페인 음식 제대로 하는 펍 처음이에요. 와인도 가성비 훌륭한 좋은 와인 판매하고 음식도 진짜 맛있어요,오랫만에 맛집 발견이네요 너무 맛있다를 연발하며 먹었습니다 상그리아 향긋하고 요리와 아주 잘 어울립니다
이고집쭈꾸미 이수점,주꾸미요리,,영업 중,4.47,999+,백김치와 마카로니샐러드를 곁들여 먹어도 잘어울려요! 마지막 치즈추가한 볶음밥까지 잘먹었습니다,급 쭈삼겹 땡겨서 친구 추천 받아서 왔어요! 넘 맛있고 우동사리 꼭 추가해서 드세요!,삼겹쭈꾸미 주문해서 먹었는데 딱 적당히 맵고 감칠맛 나서 너무너무 맛있어요!
설빙 이수역점,빙수,,영업 중,4.32,999+,친구들이랑 집들이 할때 먹으랴고 디저트로 망고빙수 사갓어요! 매장은 넘나 시장통이라 놀랫는디 ㅋㅋㅋㅋ,오랫만에 인절미 팥빙수 먹었어요. 양이 푸짐해서 셋이 나눠먹어도 될 정도 입니다.,더운 여름날 설빙에서 시원한 빙수 한그릇하세요. 오랫만에 방문해서 먹었는데 여전히 맛있네요!
호시,"초밥,롤",,영업 중,,549,이수역 초밥집중에 제일 맛있어요,초밥 회 도톰하고 맛있어요. 생강은 따로 요청해야 함.,점심시간 방문했는데 초밥 퀄리티 넘 괜찮네용
소하우스바,요리주점,,영업 중,,310,"첫방문 이었는데 완전 반해서 단골이 될것 같아요! 전골, 파스타 정말 추천합니다!",게내장 파스타 먹으러 또 왔어요! 리치 하이볼이랑 미도리 하이볼 너무 맛있어요!,지나가면서 분위기 좋아보여서 저장해뒀던 곳. 다음엔 위스키 마시러 와보려고요. 강추입니다 :)
현고대닭발 사당점,닭발,,영업 중,4.56,943,개인적으로 닭발집 탑! 달지 않고 마늘+생강향 낭낭한 취향저격인 맛이에요,내 닭발인생 5년. 드디어 닭발 맛집을. 소주. 3명깜,제 최애란 말 밖에! 안 매운 맛도 맛이 비슷하니 그냥 기본으로 드세용 진짜 맛있어요
라빠숑,"카페,디저트",,영업 중,,95,시그니처 음료인 이수 블랙과 콜림비아산 워터멜론 핸드드립 커피에 말렌카 꿀케이크까지 갓 벽 - !,"늦은 오후라 디카페인 주문했고, 쿠키를 덤으로 주셨네요. 디카페인 마셔보니 깔끔해요. 재방문의사 있음","라빠숑 추천. 저는 라빠숑을 늦은 오후라 디카페인으로 변경해서 먹고, 지인은 스트로베리 게이샤로 먹었어요."
샐러디 사당점,"다이어트,샐러드",,영업 중,4.62,999+,5월 31일까지만 한매매되는 지구식단 샐러디에 돼지불고기를 소량 추가해서 먹었습니다.,언제먹어도 샐러드 중 괜춘 샐러드 시러하는 1인으로 그나마 갠찮아요 나중엔 면으로 된거 머거바야지,샐러드를 포장해서 먹었는데 야채가 너무 신선해서 기분 좋았어요. 샐러드 먹고싶을 때 또 방문할게요.
용용선생 이수점,요리주점,,영업 중,,999+,"시킨 메뉴가 다 맛있었습니다! 특히 깐풍닭튀김, 꿔바로우 같은 튀김류가 정말 맛있어요!",분위기 좋고 친절해요. 유린기 굿. 치맥하고싶을 때 오고 싶은 곳.,어향가지 또 생각나고 분위기도 홍콩 같고 좋습니다 ㅎㅎ
미분당 이수점,베트남음식,,영업 중,4.66,999+,인생 쌀국수 양지 쌀국수 존엄 국물맛 고기양 소스 모두 만족합니다 혼자와서 먹기도 편하고 분위기 굿,"땃땃한 국물, 야들한 고기가 섞인 쌀국수가 먹고싶어서 방문했어요. 다음에 또 방문하고싶어요",따뜻하고 얼큰한 쌀국수가 땡겼는데 딱 알맞은 집이었습니다! 쌀국수도 정말 맛있습니다
