가게명,요리,개업,운영상태,별점,리뷰수,리뷰1,리뷰2,리뷰3
칠프로칠백식당 방배직영점,소고기구이,,영업 중,4.8,999+,"집에서 가까워서 자주 옵니다. 육사시미 먹어 본 중에 제일 맛있어요! 안심,살치살도 맛있어요","아주 쎈 연탄불이라 그런지 고기가 콰속으로 익어 너무 좋네요 한우모듬이 150g에 34,000원이라니!",한우 퀄리티 좋고. 맛도 좋고 분위기도 좋아요 :) 쫀득담백한 육사시미 맛있어요.
곱창나라,"곱창,막창,양",,영업 중,4.73,999+,곱창이 정말 맛있었습니다! 폭탄계란찜까지 완전 혜자 그잡채였어요,하이볼과 곱창 조합이 의외로 잘어울리네요!? 곱창 양도 너무너무많고 잡내없이 너무 맛있었어요또갈께요!,곱창이랑 하이볼 조합도 너무 좋았어요! 최고 ㅎㅎㅎ
팔각도 이수역점,닭갈비,,영업 중,4.72,999+,"숯불닭갈비, 닭안창살, 게라면 된장전골 주문했어요 넘 맛있더라고요",맵지 않은 닭갈비라 아이와 함께 먹기 좋아요! 날치알주먹밥도 라면이나 비빔칼국수도 다 맛있어요,"닭 특수부위 맛집! 닭갈비는 물론 목살이랑 관자도 너무 맛있음,"
미분당 이수점,베트남음식,,영업 종료,4.66,999+,인생 쌀국수 양지 쌀국수 존엄 국물맛 고기양 소스 모두 만족합니다 혼자와서 먹기도 편하고 분위기 굿,"땃땃한 국물, 야들한 고기가 섞인 쌀국수가 먹고싶어서 방문했어요. 다음에 또 방문하고싶어요",따뜻하고 얼큰한 쌀국수가 땡겼는데 딱 알맞은 집이었습니다! 쌀국수도 정말 맛있습니다
샐러디 사당점,"다이어트,샐러드",,영업 종료,4.62,999+,5월 31일까지만 한매매되는 지구식단 샐러디에 돼지불고기를 소량 추가해서 먹었습니다.,언제먹어도 샐러드 중 괜춘 샐러드 시러하는 1인으로 그나마 갠찮아요 나중엔 면으로 된거 머거바야지,샐러드를 포장해서 먹었는데 야채가 너무 신선해서 기분 좋았어요. 샐러드 먹고싶을 때 또 방문할게요.
슬로우캘리 사당이수점,"다이어트,샐러드",,영업 종료,4.61,999+,여름에 입맛 없을때 제일 생각나는 포케에요 매콤하면서도 상큼한 맛이라 언제 먹어도 맛있어요,건강한 맛! 가격대는 참치 11.5 연어 12.5 포케 정도예요.,슬캘 자주먹는데 건강식으로 너무 좋아요 배고팠는데 든든하고 건강하게 식사할 수 있어서 좋았습니다.
태양커피 방배점,테이크아웃커피,,영업 종료,4.56,999+,아인슈패너의 크림이 쫀쫀하고 맛있지만 클래식한 플랫화이트도 맛있음.,태양커피 아인슈패너2번=극락행티켓! 꽤 오래마셔왔지만 늘 변치않는 맛이라 좋아요,콜드브루 보단 일반 에스프레소가 더 맛있는거 같아요
메종엠오,베이커리,,영업 종료,4.55,999+,마들렌으로 유명하다 해서 찾아왔어요 아직 다 먹진 않았지만 마들렌이 예뻐요,언제나 사랑해마지않는 메종엠오의 갸또 이번에도 정말 감동적이었어요 너무 맛있었어요,다 먹어보고싶었지만 우선 밀푀유랑 몽블랑만 포장 ^^둘다 넘 맛나요! 다른거먹으러 또 갈꺼에용
경성모밀,"우동,소바",,영업 종료,4.53,999+,점심에 줄서서 기다려 먹은 냉모밀. 냉모밀 곱배기는 토핑도 두배 ㅎㅎ 경양식 돈까스도 맛있네요 ^^,돈까스랑 비빔모밀 진짜 맛있어요 단무지가 치트키 웨이팅 싫어하는데 여기여긴 기다려용,우동.돈까스 세트랑 모밀 주문했는데 양도 많고 맛있어요 국물이 끝내주네요^^
팬쿡 이수점,"스파게티,파스타전문",,영업 종료,4.52,999+,"우선 사장님이 너무 친절하십니다 피자도, 스테이크도, 파스타도 맛있었어요. 오일 새우 파스타?",가족끼리 자주 방문하는 곳이에요 ㅎㅎ 바질크림파스타 매운로제리조또 먹느라 사진은 없지만,식전에 나온 이벤트 피자도 맛있고 파스타랑 스테이크도 맛있었어요 양 적을줄 알았는데 완전 든든했어요.
