가게명,요리,개업,운영상태,별점,리뷰
왈풍류커피점,"카페,디저트",,영업 종료,,
966루프탑 진접카페,"카페,디저트",,영업 중,,
카페숲숲,"카페,디저트",,영업 중,별점4.34,리뷰 627
카펜트리 본점,"카페,디저트",,영업 중,별점4.5,리뷰 999+
달빛새 베이커리앤카페,베이커리,,영업 중,,
오도르,베이커리,,영업 중,,
앤스베이글,"카페,디저트",,영업 중,,
966루프탑 진접카페,"카페,디저트",,영업 중,,
카페 그린스트릿,카페,,영업 중,별점4.72,리뷰 380
품 카페,"카페,디저트",,영업 중,,
카펜트리 진접점,브런치카페,,영업 중,,
스타벅스 남양주진접DT점,카페,,영업 중,별점4.44,리뷰 999+
모모다인 오픈하우스,"카페,디저트",,영업 중,,
제빵소덤,베이커리,,영업 중,별점4.41,리뷰 999+
오솔커피,"카페,디저트",,영업 중,,
릴리카롱 진접 본점,"카페,디저트",,영업 중,별점4.49,리뷰 397
비쥬베르 본점,브런치카페,,오늘 휴무,,
달곰과자집,케이크전문,,영업 중,,
카페 수피아,"카페,디저트",,영업 중,별점4.27,리뷰 776
잇다제과,베이커리,,영업 중,별점4.56,리뷰 999+
디엠디커피,카페,,영업 중,별점4.75,리뷰 339
진접 카페스토리,"카페,디저트",,영업 중,별점4.66,리뷰 471
카페나래,양식,,영업 중,별점4.58,리뷰 667
카펜트리 진접점,브런치카페,,영업 중,,
카페광,브런치카페,,영업 중,,
트윈하우스카페,베이커리,,영업 중,별점4.37,리뷰 578
달콤한아지트,"카페,디저트",,영업 중,,
카페엠앤이,카페,,영업 중,별점4.64,리뷰 247
몬타도,베이커리,,영업 중,,
스타벅스 남양주연평DT점,카페,,영업 중,별점4.51,리뷰 999+
투썸플레이스 남양주장현점,카페,,영업 중,별점4.37,리뷰 999+
제이델링 남양주점,케이크전문,,영업 중,,
카페엘림,"카페,디저트",,영업 중,,
쁘왈란,베이커리,,영업 중,별점4.32,리뷰 965
356도 진접레터링케이크,"카페,디저트",,오늘 휴무,별점4.67,리뷰 248
한스비건,베이커리,,영업 중,별점4.43,리뷰 367
앵그리오븐,"카페,디저트",,영업 중,,
만랩커피 진접역점,카페,,영업 중,별점4.5,리뷰 498
라쿠치,"카페,디저트",새로오픈,영업 중,,리뷰 29
메가MGC커피 진접롯데시네마점,카페,,영업 중,별점4.34,리뷰 999+
더포근,"카페,디저트",,영업 중,별점4.32,리뷰 893
타래,"카페,디저트",,영업 중,,
데일리초이스,"카페,디저트",,영업 중,,
꼰대꽈배기 진접점,도넛,,영업 중,별점4.33,리뷰 268
달콤스,카페,,영업 중,,
서단미,떡카페,,,,리뷰 5
더블유오,브런치카페,,영업 중,,
요베이글,베이커리,,영업 중,,
과일카페,"과일,주스전문점",,영업 중,별점4.77,리뷰 285
카페 숨시다,카페,,영업 중,별점4.43,리뷰 153
컴포즈커피 남양주진접점,카페,,영업 중,,
소미담 진접점,"카페,디저트",,영업 중,,
요거트아이스크림의 정석 진접점,아이스크림,,영업 중,,
메가MGC커피 남양주장현점,카페,,영업 중,별점4.31,리뷰 966
루케테,베이커리,,영업 중,별점4.63,리뷰 173
두디아블,"카페,디저트",,영업 중,별점4.9,리뷰 218
콤피아워,카페,,영업 중,,
디저트린,"카페,디저트",,영업 중,,
댓츠케이크,케이크전문,,영업 종료,,
블루카페레스토랑,베이커리,,영업 중,,
땡큐베이글,베이글,,영업 중,,
블랙시드 커피 로스터스,"카페,디저트",,영업 종료,별점4.8,리뷰 120
아시카페,카페,,영업 중,,
이디야커피 남양주진접DI점,카페,,영업 중,,
현미베이커리카페,베이커리,,영업 중,,
할리스 남양주진접점,카페,,영업 중,,
그날그날,"카페,디저트",,영업 중,별점4.71,리뷰 582
크와썽,베이커리,,영업 중,,
디저트39 진접점,카페,,영업 중,,
리미앙케이크,케이크전문,,영업 종료,,
이디야커피 남양주진접역점,카페,,영업 중,별점4.38,리뷰 783
파리바게뜨 진접더샵스타힐스,베이커리,,영업 중,,
스라밸 스터디카페,스터디카페,,24시간 영업,별점4.32,리뷰 35
커피베이 진접장현점,카페,,영업 중,별점4.15,리뷰 211
빙달 진접점,빙수,,영업 중,,
배스킨라빈스 남양주진접,아이스크림,,영업 중,별점4.45,리뷰 999+
그사진관그카페,"카페,디저트",,영업 중,별점4.21,리뷰 93
메가MGC커피 진접역점,카페,,영업 중,,
빛과제과,"카페,디저트",,오늘 휴무,,
더벤티 남양주진접점,카페,,영업 중,별점4.46,리뷰 640
파리바게뜨 장현점,베이커리,,영업 중,별점4.33,리뷰 999+
와플대학 장현캠퍼스,와플,,영업 중,,
디저트39 진접장현점,카페,,영업 중,,
파리바게트 진접역점,베이커리,,영업 중,별점4.57,리뷰 999+
카페더힐링,테마카페,,영업 중,,
