가게명,요리,개업,운영상태,별점,리뷰
미도인 왕십리역사,양식,,영업 중,,
왕십리연탄집,한식,,영업 중,별점4.66,리뷰 999+
압구정화로구이 한양대점,"육류,고기요리",,영업 중,,
제일곱창 본점,"곱창,막창,양",,영업 중,별점4.45,리뷰 999+
여우주막,요리주점,,영업 중,별점4.15,리뷰 999+
스시도쿠 왕십리본점,"초밥,롤",,영업 중,별점4.54,리뷰 999+
양대포,"곱창,막창,양",,영업 중,별점4.56,리뷰 999+
핵밥 한양대점,덮밥,,영업 중,,
왕십리맛나곱창,"곱창,막창,양",,영업 중,별점4.25,리뷰 999+
진작다이닝,일식당,,영업 중,별점4.55,리뷰 999+
훼미리손칼국수보쌈,"칼국수,만두",,영업 중,,
돈구어,"육류,고기요리",,영업 중,별점4.82,리뷰 999+
나인헤르츠,카페,,영업 중,,
윕 성수,양식,,영업 중,별점4.43,리뷰 999+
고기를품다 본점,돼지고기구이,,영업 중,별점4.71,리뷰 999+
소인수서울 본점,"곱창,막창,양",,영업 중,별점4.52,리뷰 999+
백소정 한양대점,일식당,,영업 중,,
뒷돈산,돼지고기구이,,영업 중,,
타이파,"카페,디저트",,영업 중,,
인더매스 마장,"카페,디저트",,영업 중,별점4.43,리뷰 999+
마라무쌍 왕십리점,중식당,,영업 중,별점4.29,리뷰 999+
갱생,요리주점,,영업 중,별점4.87,리뷰 999+
왕초바베큐 왕십리 본점,"치킨,닭강정",,영업 중,,
봄의정원 왕십리점,양식,,영업 중,별점4.8,리뷰 999+
ddd,"카페,디저트",새로오픈,영업 중,,리뷰 107
우동가조쿠,"우동,소바",,영업 중,별점4.5,리뷰 999+
뺑드미 왕십리점,베이커리,,영업 중,별점4.5,리뷰 999+
통돼지 두루치기 김치찌개 전문점,"육류,고기요리",,영업 중,별점4.38,리뷰 961
뜨아아아커피집,"카페,디저트",,영업 중,,
스시도쿠 카미동 왕십리본점,일식당,,영업 중,,
카모메 한양대점,일식당,,영업 중,별점4.72,리뷰 999+
양평회관 왕십리본점,"육류,고기요리",,영업 중,,
매란방 왕십리본점,중식당,,영업 중,,
팩피,"스파게티,파스타전문",,브레이크타임,,
악어떡볶이,종합분식,,영업 중,별점4.35,리뷰 999+
평이담백뼈칼국수 성수점,"칼국수,만두",,영업 중,별점4.35,리뷰 999+
